start_time,end_time,text,speaker
00:07:59.000,00:08:07.000,"which is another option, epine fring or epi, macri, but possible,",UNKNOWN
00:08:07.000,00:08:13.000,"I think those are the most useful for the eyes, there are other options,",UNKNOWN
00:08:13.000,00:08:20.000,"but I don't think there's any session in which I would use something else,",UNKNOWN
00:08:20.000,00:08:28.000,"for the eyes,",UNKNOWN
00:08:28.000,00:08:46.000,"yeah, is about what is useful, I think,",UNKNOWN
00:08:46.000,00:08:52.000,"so this AVCT that you follow, what is that called?",UNKNOWN
00:08:52.000,00:08:58.000,"So it's basically primary and secondary survey, so when we do our primary survey,",UNKNOWN
00:08:58.000,00:09:03.000,"it's a systematical assessment that we do in order to make sure we don't miss anything,",UNKNOWN
00:09:03.000,00:09:13.000,"and that we manage life-treatening issues online, so the new way to do it is XABCT,",UNKNOWN
00:09:14.000,00:09:21.000,"so basically, X10 for XN-mination, is there enough just bleeding?",UNKNOWN
00:09:21.000,00:09:28.000,"So do we feel like we have an arterial gosh of venous bleeding from the spine,",UNKNOWN
00:09:28.000,00:09:37.000,"we should just pack or compress or put a trite on, that is easily fixed while we do the rest,",UNKNOWN
00:09:38.000,00:09:43.000,"after that we need to make sure that the airway is patented,",UNKNOWN
00:09:43.000,00:09:46.000,"so that's a way for us to know what is,",UNKNOWN
00:09:46.000,00:09:50.000,"like, is the patient going to be able to breathe through all of it,",UNKNOWN
00:09:50.000,00:09:55.000,"because even though there's blood flow, if there's no oxygen, he's going to die,",UNKNOWN
00:09:55.000,00:09:59.000,"so that's why we do it step-way, so airway breathing breath,",UNKNOWN
00:09:59.000,00:10:04.000,"so the airway refers to everything that is related to the mouth, nose,",UNKNOWN
00:10:05.000,00:10:09.000,"and the capacity for the body to breathe spontaneously,",UNKNOWN
00:10:09.000,00:10:16.000,"or at least with minimal support, and the capacity to protect the airway at the same time.",UNKNOWN
00:10:16.000,00:10:19.000,"He is a state for the clinic, or?",UNKNOWN
00:10:19.000,00:10:30.000,"Protect the airway at the same time, so that is going to be taking into account the GCS,",UNKNOWN
00:10:30.000,00:10:35.000,"so if you're altered, you might not be able to prevent, if you had to vomit,",UNKNOWN
00:10:35.000,00:10:40.000,"to prevent aspiration, and you might not be able to even breathe on your own,",UNKNOWN
00:10:40.000,00:10:43.000,"so that's why sometimes we need to consider ventilation support,",UNKNOWN
00:10:43.000,00:10:50.000,"so intervation for that, sometimes just because of a massive amount of blood,",UNKNOWN
00:10:50.000,00:10:55.000,"it's suctioning the mouth, removing, like, loomsteed,",UNKNOWN
00:10:56.000,00:11:00.000,"or just avoiding the lower jaw to just collapse,",UNKNOWN
00:11:00.000,00:11:04.000,and doing some sort of air recompromise.,UNKNOWN
00:11:07.000,00:11:10.000,"Earlier when I was speaking about the ABC, the A,",UNKNOWN
00:11:10.000,00:11:14.000,"temporary measure, like I said, you can just lift the jaw,",UNKNOWN
00:11:14.000,00:11:18.000,"or sometimes it can be enough, so when you re-sus situation,",UNKNOWN
00:11:18.000,00:11:21.000,"you could have, let's say, somebody that is,",UNKNOWN
00:11:21.000,00:11:24.000,"they might say, quantane, or stuff like that,",UNKNOWN
00:11:24.000,00:11:28.000,"and the patient is just, having heart-time breathing,",UNKNOWN
00:11:28.000,00:11:30.000,"so sometimes just really single a bit,",UNKNOWN
00:11:30.000,00:11:32.000,"that pressure reopens the airway,",UNKNOWN
00:11:32.000,00:11:34.000,"and allows you to go to the next step,",UNKNOWN
00:11:34.000,00:11:37.000,"so you know that this is another life-treatening situation,",UNKNOWN
00:11:37.000,00:11:39.000,but you can manage the rest after.,UNKNOWN
00:11:39.000,00:11:44.000,The breathing includes making sure the air gun goes in on both sides.,UNKNOWN
00:11:44.000,00:11:49.000,"Most people would include in the A, the need for a collar,",UNKNOWN
00:11:50.000,00:11:52.000,"or a spinal precaution, because that's where you are,",UNKNOWN
00:11:52.000,00:11:55.000,so it's easy to go from head to toe somehow.,UNKNOWN
00:11:56.000,00:11:59.000,So breathing will include making sure that the air is going,UNKNOWN
00:11:59.000,00:12:01.000,"on both sides symmetrically,",UNKNOWN
00:12:03.000,00:12:06.000,making sure that there's no circuitiness and fissima,UNKNOWN
00:12:06.000,00:12:09.000,"that would be a sign of funeral thorax,",UNKNOWN
00:12:09.000,00:12:13.000,"making sure that you have some sort of, like, no chest instability,",UNKNOWN
00:12:13.000,00:12:18.000,"or they might, a word that I didn't say was flailed chest,",UNKNOWN
00:12:20.000,00:12:23.000,"so if you have a paradoxical movement of your chest,",UNKNOWN
00:12:23.000,00:12:26.000,"when the ribs are broken in multiple steps,",UNKNOWN
00:12:26.000,00:12:29.000,"and through when you breathe, it should go out as a breath,",UNKNOWN
00:12:29.000,00:12:32.000,"but sometimes if your ribs are in a multiple spot,",UNKNOWN
00:12:32.000,00:12:35.000,"it can go in every time you breathe,",UNKNOWN
00:12:35.000,00:12:37.000,"and go out every time you exhale,",UNKNOWN
00:12:37.000,00:12:40.000,"instead of doing the opposite, because it's not a touch of your ass.",UNKNOWN
00:12:43.000,00:12:46.000,"And that's really not good, people are usually sick when,",UNKNOWN
00:12:46.000,00:12:50.000,"so if they say that, and your assessment usually is not a good sign,",UNKNOWN
00:12:53.000,00:12:57.000,"if, so for the breathing, that's where we're,",UNKNOWN
00:12:57.000,00:13:01.000,"so air entry, making sure that we need or not",UNKNOWN
00:13:01.000,00:13:03.000,"to put a chest to it, if your patient is unstable,",UNKNOWN
00:13:03.000,00:13:05.000,"if you have no air entry, your patient is unstable,",UNKNOWN
00:13:05.000,00:13:08.000,"you need to take into account that until proven otherwise,",UNKNOWN
00:13:08.000,00:13:12.000,"it's attention to you all, so you need to consider putting a chest to,",UNKNOWN
00:13:12.000,00:13:14.000,"before going to the next step,",UNKNOWN
00:13:15.000,00:13:17.000,which is our circulation.,UNKNOWN
00:13:17.000,00:13:21.000,"Circulation includes blood pressure, bio signs, blood product.",UNKNOWN
00:13:23.000,00:13:26.000,"We usually looked, so there's a saying trauma that says,",UNKNOWN
00:13:26.000,00:13:29.000,"where you could breathe from, is like,",UNKNOWN
00:13:31.000,00:13:36.000,"the floor and the floor more, so you could breathe on the floor,",UNKNOWN
00:13:38.000,00:13:41.000,"you could breathe in your chest, you could breathe in your belly,",UNKNOWN
00:13:42.000,00:13:44.000,"you could breathe in your head, and you could breathe for a mirror,",UNKNOWN
00:13:44.000,00:13:45.000,long bones.,UNKNOWN
00:13:45.000,00:13:49.000,"So that's why when we do our, our C, our circulation,",UNKNOWN
00:13:49.000,00:13:53.000,"we look at those, the head usually doesn't do significant stability",UNKNOWN
00:13:53.000,00:13:56.000,"just from getting there, but sometimes,",UNKNOWN
00:13:58.000,00:14:03.000,"if we have long bone injuries, that's why I went to the other case,",UNKNOWN
00:14:03.000,00:14:06.000,"I spoke about traction, because when you have long bone fracture,",UNKNOWN
00:14:06.000,00:14:08.000,"if you have to put the limb of traction,",UNKNOWN
00:14:09.000,00:14:12.000,"usually it's to reduce the fracture and make sure that everything is aligned,",UNKNOWN
00:14:12.000,00:14:14.000,"and at the same time, we reduce the risk of bleeding,",UNKNOWN
00:14:14.000,00:14:19.000,because your bone marrow is a good exit for your blood.,UNKNOWN
00:14:22.000,00:14:26.000,"Open fracture also, in the same way, you can leak blood from those.",UNKNOWN
00:14:27.000,00:14:30.000,"The lower the floor, it's sometimes it's an obvious source of bleeding.",UNKNOWN
00:14:30.000,00:14:32.000,"The head, the scalp can leak quite a lot.",UNKNOWN
00:14:33.000,00:14:38.000,"The belly usually we assess it through our fast,",UNKNOWN
00:14:39.000,00:14:41.000,so our bedside ultrasound.,UNKNOWN
00:14:41.000,00:14:46.000,"If we have free fluid, then our patient is unstable until proven otherwise,",UNKNOWN
00:14:46.000,00:14:51.000,"it's bleeding in the belly, that induces that instability.",UNKNOWN
00:14:53.000,00:14:57.000,"And for the heart, it's like when you're taking,",UNKNOWN
00:14:57.000,00:15:00.000,"when you're concerned, I'm turning it like into the chest,",UNKNOWN
00:15:01.000,00:15:03.000,"so we can also see that if there's a pergola of fusion,",UNKNOWN
00:15:03.000,00:15:07.000,"it contracts the heart a little bit, and it's capacity to expand,",UNKNOWN
00:15:07.000,00:15:10.000,"because your blood is around it, and it's in the bag.",UNKNOWN
00:15:10.000,00:15:13.000,"So if there's stuff around it, everything is pushed in horse,",UNKNOWN
00:15:13.000,00:15:15.000,"that's what we call a tempunade,",UNKNOWN
00:15:15.000,00:15:18.000,"so it prevents the heart from expanding and contracting,",UNKNOWN
00:15:18.000,00:15:20.000,pushing blood from normally.,UNKNOWN
00:15:21.000,00:15:25.000,"So if you had that, they might describe a narrow pulse,",UNKNOWN
00:15:26.000,00:15:31.000,"so not a big difference between the systolic and diastolic pressure,",UNKNOWN
00:15:34.000,00:15:37.000,and a hemothorax would be related to that.,UNKNOWN
00:15:41.000,00:15:44.000,"So that's for the cavities,",UNKNOWN
00:15:46.000,00:15:49.000,and then these stands for disability.,UNKNOWN
00:15:49.000,00:15:53.000,"Disability is therefore basically looking at,",UNKNOWN
00:15:54.000,00:15:56.000,"do we have any neurological impairment,",UNKNOWN
00:15:56.000,00:15:59.000,"do we have any limb that is not moving,",UNKNOWN
00:15:59.000,00:16:04.000,"so what we usually do is that we make sure that our ABC is clear,",UNKNOWN
00:16:04.000,00:16:08.000,"and that's something we can reassess if our patient is not there,",UNKNOWN
00:16:08.000,00:16:09.000,or want to.,UNKNOWN
00:16:10.000,00:16:16.000,"If we do our ABC, and our patient is stable enough,",UNKNOWN
00:16:16.000,00:16:18.000,that's where we add our adjunct.,UNKNOWN
00:16:19.000,00:16:22.000,"So our chest x-ray, our pelvic x-ray,",UNKNOWN
00:16:23.000,00:16:27.000,"because those are going to be prompting us to take decisions,",UNKNOWN
00:16:27.000,00:16:33.000,"and then after that comes our secondary survey,",UNKNOWN
00:16:33.000,00:16:40.000,"so that's why we assess for, like I said, disability long balls,",UNKNOWN
00:16:40.000,00:16:42.000,like other fracture and messed up.,UNKNOWN
00:16:44.000,00:16:48.000,"So disability usually includes our GCS and that,",UNKNOWN
00:16:48.000,00:16:50.000,"but more often than not in practice,",UNKNOWN
00:16:50.000,00:16:52.000,"it's going to be one of the first things we're going to do,",UNKNOWN
00:16:52.000,00:16:55.000,because it's going to change our assessment of the airway.,UNKNOWN
00:16:55.000,00:16:57.000,"So if our patient is not protecting a zero-way,",UNKNOWN
00:16:57.000,00:17:00.000,"we might be prompted to do something there,",UNKNOWN
00:17:00.000,00:17:03.000,"or to a letter, but at the same time,",UNKNOWN
00:17:03.000,00:17:09.000,"if the patient is unstable and his GCS is low,",UNKNOWN
00:17:10.000,00:17:13.000,"but his airway is not compromised,",UNKNOWN
00:17:13.000,00:17:16.000,there's no rushing into patient because we can back him.,UNKNOWN
00:17:17.000,00:17:25.000,"So for disability, like I said,",UNKNOWN
00:17:25.000,00:17:28.000,"I also really include the formatting in it,",UNKNOWN
00:17:28.000,00:17:31.000,"obviously like dislocation, stuff like that,",UNKNOWN
00:17:31.000,00:17:33.000,"and his exposure,",UNKNOWN
00:17:33.000,00:17:36.000,"making sure we see the body from head to toe naked,",UNKNOWN
00:17:36.000,00:17:39.000,"to make sure we can miss anything,",UNKNOWN
00:17:39.000,00:17:40.000,"and at the same time,",UNKNOWN
00:17:40.000,00:17:45.000,"it's a good timing for us to make sure that we have warm blanket,",UNKNOWN
00:17:46.000,00:17:49.000,"there are huggers, something to keep our patient warm afterwards.",UNKNOWN
00:17:51.000,00:17:54.000,That's usually when the nurse end up putting a failure,UNKNOWN
00:17:54.000,00:17:57.000,"in a catarge or a folate or something like that,",UNKNOWN
00:17:57.000,00:18:00.000,"an NG2 or OG2, so too to decompress the stomach.",UNKNOWN
00:18:03.000,00:18:09.000,And that's when we usually end up deciding,UNKNOWN
00:18:09.000,00:18:12.000,"if we go to the OR, if we go...",UNKNOWN
00:18:12.000,00:18:14.000,"If our patient is super unstable,",UNKNOWN
00:18:14.000,00:18:19.000,"we might not do the DE part of the assessment,",UNKNOWN
00:18:19.000,00:18:25.000,"we might stop at seeing the site to go to the OR runway,",UNKNOWN
00:18:25.000,00:18:29.000,because our patient is too unstable for us to waste time,UNKNOWN
00:18:29.000,00:18:32.000,"looking at the nerve and back or whatever,",UNKNOWN
00:18:32.000,00:18:35.000,"just to keep the decision that is actively dying,",UNKNOWN
00:18:35.000,00:18:37.000,we need to do something.,UNKNOWN
00:18:38.000,00:18:41.000,"More often than not, we have enough time to finish it,",UNKNOWN
00:18:42.000,00:18:51.000,"and once we've decided to go to the OR,",UNKNOWN
00:18:51.000,00:18:52.000,"to go to the CDC,",UNKNOWN
00:18:52.000,00:18:57.000,"are we capable of managing this patient here,",UNKNOWN
00:18:57.000,00:19:00.000,"or we should consider transferring the patient,",UNKNOWN
00:19:00.000,00:19:03.000,depending on what is your situation.,UNKNOWN
00:19:05.000,00:19:07.000,"I'm not sure if EMS,",UNKNOWN
00:19:07.000,00:19:10.000,"like that's not the job I expect EMS to do,",UNKNOWN
00:19:10.000,00:19:12.000,"but more often than not,",UNKNOWN
00:19:12.000,00:19:14.000,"there are pre-systematic in what they do,",UNKNOWN
00:19:14.000,00:19:16.000,and they give us...,UNKNOWN
00:19:16.000,00:19:18.000,do you set report?,UNKNOWN
00:19:20.000,00:19:21.000,"Okay, awesome.",UNKNOWN
00:19:21.000,00:19:23.000,I feel like you covered pretty much...,UNKNOWN
00:19:23.000,00:19:26.000,I think I covered most of the things that are...,UNKNOWN
00:19:26.000,00:19:29.000,"Yeah, if there's anything that is not clear,",UNKNOWN
00:19:29.000,00:19:32.000,just let me or make that annoying.,UNKNOWN
00:19:32.000,00:19:34.000,I just can't hear about that.,UNKNOWN
00:19:34.000,00:19:35.000,Thank you.,UNKNOWN
